"index","runner","exit_code","tests","assertions","log"
"1","res://combat/tests/run_agent_d_growth_integration_tests.gd","0","10","145","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\01_run_agent_d_growth_integration_tests.log"
"2","res://combat/tests/run_agent_d_integration_tests.gd","0","9","73","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\02_run_agent_d_integration_tests.log"
"3","res://combat/tests/run_combat_tests.gd","0","27","124","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\03_run_combat_tests.log"
"4","res://combat/tests/run_delivery_reuse_tests.gd","0","10","105","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\04_run_delivery_reuse_tests.log"
"5","res://combat/tests/run_delivery_skill_integration_test.gd","0","1","4","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\05_run_delivery_skill_integration_test.log"
"6","res://combat/tests/run_delivery_tests.gd","0","16","56","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\06_run_delivery_tests.log"
"7","res://combat/tests/run_first_batch_delivery_tests.gd","0","26","163","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\07_run_first_batch_delivery_tests.log"
"8","res://growth/tests/run_growth_06_contract_tests.gd","0","10","84","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\08_run_growth_06_contract_tests.log"
"9","res://growth/tests/run_growth_contract_edge_tests.gd","0","4","10","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\09_run_growth_contract_edge_tests.log"
"10","res://growth/tests/run_growth_session_isolation_test.gd","0","1","5","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\10_run_growth_session_isolation_test.log"
"11","res://growth/tests/run_growth_tests.gd","0","25","155","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\11_run_growth_tests.log"
"12","res://combat/tests/run_hud_loadout_feedback_tests.gd","0","13","113","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\12_run_hud_loadout_feedback_tests.log"
"13","res://combat/tests/run_passive_runtime_contract_tests.gd","0","5","55","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\13_run_passive_runtime_contract_tests.log"
"14","res://growth/tests/run_reward_authority_tests.gd","0","3","15","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\14_run_reward_authority_tests.log"
"15","res://combat/tests/run_skill_content_catalog_tests.gd","0","11","231","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\15_run_skill_content_catalog_tests.log"
"16","res://combat/tests/run_skill_execution_contract_tests.gd","0","16","102","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\16_run_skill_execution_contract_tests.log"
"17","res://combat/tests/run_skill_tests.gd","0","28","144","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\17_run_skill_tests.log"
"18","res://combat/tests/run_skill_vfx_runtime_tests.gd","0","9","124","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\18_run_skill_vfx_runtime_tests.log"
"19","res://combat/tests/run_task24_compact_hud_reward_tests.gd","0","10","237","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\19_run_task24_compact_hud_reward_tests.log"
"20","res://growth/tests/run_task25_immediate_shop_equip_tests.gd","0","8","242","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\20_run_task25_immediate_shop_equip_tests.log"
"21","res://growth/tests/run_task27_run_economy_progression_tests.gd","0","11","307","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\21_run_task27_run_economy_progression_tests.log"
"22","res://combat/tests/run_task27_skill_level_effect_tests.gd","0","7","86","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\22_run_task27_skill_level_effect_tests.log"
"23","res://combat/tests/run_task28_seven_slot_passive_tests.gd","0","6","154","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\23_run_task28_seven_slot_passive_tests.log"
"24","res://combat/tests/run_task29_real_room_flow_tests.gd","0","1","93","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\24_run_task29_real_room_flow_tests.log"
"25","res://growth/tests/run_task29_run_flow_contract_tests.gd","0","6","166","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\25_run_task29_run_flow_contract_tests.log"
"26","res://combat/tests/run_task30_run_ui_tests.gd","0","9","172","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\26_run_task30_run_ui_tests.log"
"27","res://growth/tests/run_task32_formal_four_passive_content_tests.gd","0","5","173","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\27_run_task32_formal_four_passive_content_tests.log"
"28","res://growth/tests/run_task31_content_balance_tests.gd","0","9","310","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\28_run_task31_content_balance_tests.log"
"29","res://combat/tests/run_task31_full_run_e2e_tests.gd","0","4","447","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\baseline29\29_run_task31_full_run_e2e_tests.log"
